caminho,especializacao,nome,custo_pe,tipo_acao,conjuracao,efeito_resumo,aprimoramento_a,aprimoramento_b
Andarilho,Bardo,Manipulador Mental,—,—,Não,"Evolui Enfeitiçar: +1 Alvo (+1 a cada 3 Canalização); grátis fora de combate; ganha Comandos (Soltar/Mover/Ficar) via Ação Simples",Controle Total: pode ceder uma Ação Ativa ao Alvo enfeitiçado,Mestre da Mente: Comando vira Ação Acelerada (1x/turno) + Inaptidão no Alvo
Andarilho,Bardo,Instigar o Bando,—,Iniciativa,Não,"Você e aliados a 6m recebem Instigado: pode trocar por +1d4 num teste de Parâmetro",Véu Instigado: pode usar Instigado 2x,Enaltecer o Bando: Instigado também dá Aptidão
Andarilho,Bardo,Melodia Perturbadora,2,Ação Simples,Sim,"Área 4m: aplica Síncope/Modulação/Dissonância (efeitos condicionais até o próximo turno)",O Último Espetáculo: dobra alcance e -1 PE,Melodia Fluída: vira Ação Acelerada
Andarilho,Bardo,Sussurro Sonolento,5,Ação Ativa,Sim,"Condição Mágica (Foco) 1 min: Alvo dorme, sem Ação/Movimentação, Defesa vira Resultado Natural 1",Peso dos Sonhos: +2 Dif.,Hipnotizador Místico: Inaptidão no teste de Espírito
Andarilho,Bardo,Caminhante dos Reinos,—,—,Não,"Repouso Completo: remove +1 Exaustão em área; reduz 1 PE de uma habilidade; +1 Maestria; +1 Idioma",Poupar Recursos: reduz PE de outra habilidade,A Grande Jornada: +1 Maestria e +1 Idioma adicionais
Andarilho,Bardo,Exaltar Campeão,2,Ação Rápida,Sim,"Após aliado acertar, +1 num Parâmetro dele até o fim do próximo turno",Horda de Heróis: pode usar 2x na rodada,Arauto do Campeão: dobra alcance e -1 PE
Andarilho,Bardo,Impulso,1,Ação Rápida,Sim,Concede Corrida imediata a um Aliado a 6m,Chamar a Torcida: +1 Alvo (a cada 2 Canalização),Criar o Ritmo: dobra alcance e remove custo de PE
Andarilho,Caçador,Mestre das Feras,—,—,Não,"Evolui Companheiro Feral: +25 PV/+5 PE/+1 Poder/+1 Parâmetro à Criatura Aliada + 1 Característica extra",Evoluir Criatura Aliada: +1 Característica extra,Compartilhar Energias: Criatura Aliada recebe seus Efeitos Positivos
Andarilho,Caçador,Desbravador do Mundo Selvagem,—,—,Não,"Evolui Explorador de Auroria: aplica Adaptação Selvagem também em aliado; ganha Técnica de Sobrevivência Avançada",Perícia do Caçador: -1 Dif. de efeitos de Característica contra você,Aprendizado do Caçador Veterano: +2 Técnicas Avançadas
Andarilho,Caçador,A Caçada,—,Iniciativa,Não,"Marca uma criatura Homuncularium: 1º dano do turno contra ela + metade do PE máx.; dano não reduzível por Características",Nova Presa: reaplica em nova criatura ao matar a atual,Predador: Corrida grátis + -1 no 1º custo de PE por turno
Andarilho,Caçador,Técnicas de Emergência,—,—,Não,"Na 1ª vez a metade do PV: ignora um ataque (Defesa automática), sucesso automático em Vigor ou Espírito de Característica (1x cada)",Resguardo Físico: ignora 1x um dano em área de Característica,Emergência em Dobro: usa um efeito 2x no combate
Andarilho,Caçador,Mestre em Montaria,—,—,Não,"Montar não gasta Ação Simples; inimigos desmontados têm -1 Defesa contra você; Aptidão para não cair; ganha Investida (empurra+Atordoa)",Investida Devastadora: +2 Dif. de Vigor,Avanço Bruto: Inaptidão vira Aprimorada
Andarilho,Caçador,Desabilitar Característica,1,Ação Simples,Sim,"Foco 1 min: bloqueia efeitos de Características Comuns (exceto Minúsculo/Corpo Descomunal/Colosso) de uma criatura a 8m",Forçar a Matriz: +2 Dif.,Prender Essência: Inaptidão no teste
Andarilho,Caçador,Essências Místicas,2,Ação Rápida,Não,"Ao ferir criatura Homuncularium, ganha Essência (Jet/Kot/Nak/Zye) com bônus temático por 1 min",Manter Essências: mantém até 2 diferentes,Mestre de Essências: vira Ação Acelerada
Andarilho,Caçador,Identificar Ponto Fraco,2,Ação Ativa,Não,"Ataque contra criatura Homuncularium: Defesa dela usa metade da Agilidade/Bloqueio",Ataque Potencializado: Defesa não pode ter Prioridade/Aptidão,Treinamento Árduo: regenera 2 PE em acerto 8+
Andarilho,Druida,Espírito Selvagem,—,—,Não,"Evolui Descendente dos Filhos da Floresta: acesso a Primais, Características Normais, +2 Dif. de testes impostos, Transformação não cai ao Incapacitado",Metamorfose: troca 1 Característica por turno,Fúria dos Descendentes: +1 categoria de dado em Golpe Brutal/Evocação
Andarilho,Druida,Soberania Lunar,—,—,Não,"Evolui Decreto Lunar: +1 Alvo (a cada 3 Espírito), escolhe efeito individualmente por Alvo",Escolhido das Luas: +1 Alvo a cada 2 Espírito,Ascendência Lunar: vira Ação Acelerada
Andarilho,Druida,Clamar a Terra,3,Ação Ativa,Sim,"Invoca Golem aliado (Capacidade = Espírito+1); comandos Ataque Pesado (1d10 Físico) e Corpo Monumental (Meia Cobertura)",Técnica da Natureza: vira Ação Acelerada,Força da Terra: bônus do Ataque Pesado escala a cada 2 Espírito
Andarilho,Druida,Éfige da Grande Mãe,3,Ação Simples,Sim,"Foco 1 min: Estrutura (Capacidade = Espírito+1) permite absorver 1 dano por turno reduzindo PE máx. do dano",Ritual da Terra: vira Ação Acelerada,Conexão Primal: pode proteger aliados a 6m
Andarilho,Druida,Campeão Lunar,3,Ação Simples,Sim,"Foco: inimigo que causar dano em área perto de você recebe 2x Espírito como Dano Imaterial (1x/rodada/Alvo)",Magia Selvagem: vira Ação Acelerada,Emergir Forças da Natureza: dobra alcance e remove status de Foco
Andarilho,Druida,Furor Lunar,1-5,Ação Ativa,Sim,"Dano imaterial escalável (1/3/5 PE) com efeitos crescentes (Lentidão / +Inaptidão / bloqueia PE) contra Alvo a 8m",Peso Lunar: +2 Dif.,Sinergia Estelar: reduz custo a cada uso no combate (mín. 1 PE)
Andarilho,Druida,Druidismo,2,Ação Ativa,Sim,"Ignora Terreno Difícil e atravessa; ganha Terremoto (área vira Terreno Difícil 1h, Caído em Vigor Dif.10)",Abalos Sísmicos: -1 Precisão/Canalização/Defesa na área,Aperfeiçoar Terremoto: vira Ação Acelerada
Andarilho,Druida,Punição dos Espinhos,2,Ação Rápida,Sim,"Ao ser ferido, aplica Envenenado + Sangramento no atacante a 8m",Convocação Célere: usa 2x na rodada,Conexão de Aylon: também pode usar em aliados a 4m
Andarilho,Emissário,Convergência,—,—,Não,"Evolui Forças do Ciclo: efeito extra conforme dano Natureza (re-rola Canalização) ou Profano (Inaptidão para remover Tributo)",Arauto do Crepúsculo: ganha os dois efeitos,Poder do Ciclo: dobra o dano de Forças do Ciclo
Andarilho,Emissário,Furor da Natureza,—,—,Não,"Evolui Grilhões Primais: +1 Alvo (a cada 3 Canalização), +2m alcance, puxa voadores para o chão",Lampejo Primordial: usa 2x na rodada,Tributo Primordial: regenera PV por Alvo que falhou
Andarilho,Emissário,Drenar a Vida,2,Ação Simples,Sim,"Dano de Natureza/Profano a 8m (Vigor Dif.10) e regenera PV igual ao dano causado",Romper a Essência: +2 Dif.,Avatar do Ciclo: +1 Alvo (a cada 3 Canalização)
Andarilho,Emissário,Caminhante do Muro do Silêncio,—,—,Não,"Ao cair a 0 PV, permanece com PV = PE máximo em vez de Incapacitar (ainda ganha Exaustão)",Presente da Não-Vida: PV = 2x PE máximo,Manipular a Vida e a Morte: pode salvar aliados a 6m
Andarilho,Emissário,Escultor do Ciclo,—,—,Não,"Converte Dano Neutro em Natureza/Profano; dano de Natureza dá +regen. futura; dano Profano pune uso de PE do Alvo",Andarilho Cinzento: +1 categoria de dado nesses efeitos,Fim e Recomeço: mata com esse dano remove 1 Exaustão
Andarilho,Emissário,Dualidade,—,Iniciativa,Sim,"Escolhe Avivado (Resistência Natureza + dano mágico ignora reduções) ou Profanado (Resistência Profano + ignora PVT); bônus ao matar 1x/combate",Determinação do Emissário: efeito ocorre 2x no combate,Campeão do Ciclo: recebe ambos os efeitos
Andarilho,Emissário,Maestria do Crepúsculo,2,—,Sim,"Só com Grilhões Primais/Forças do Ciclo ativos: força Alvo a refazer o teste que resistiu",Cobrar o Tributo: Alvo perde 1 PE,Elevar a Maestria: remove custo de PE
Andarilho,Emissário,Florescência,4,Ação Ativa,Sim,"Foco 1 min: planta Vitalírio (compartilha regen./PVT) ou Botão Sepulcral (força teste com d12 puro)",Conjurador Natural: vira Ação Acelerada,Mega Florescência: +2 Capacidade e -1 PE
Andarilho,Ritualista,Pronunciador da Catástrofe,—,—,Não,"Evolui Perturbação Lúgubre: +1 categoria de dado a cada 3 Canalização; dano reaplicado em falha de remoção",Recompensa Imaterial: regenera PV = Canalização,Sinergia Caótica: regenera 1 PE por Alvo afetado próximo no seu turno
Andarilho,Ritualista,Força Negativa,—,—,Não,"Evolui Invólucro Cinzento: reflete também em Alvo adicional a 6m; teste de Espírito vira Inaptidão",Ruir o Véu: Inaptidão vira Aprimorada,Caminho Perdido: -1 em Parâmetros de quem falhar
Andarilho,Ritualista,Maldição,3,Ação Simples,Sim,"Condição Mágica 1 min: bloqueia remoção de outras Condições; falha em remover causa dano imaterial (metade do PE máx.)",Amaldiçoar: +2 Dif.,Consumir Tudo: dano = PE máximo total (não metade)
Andarilho,Ritualista,Primeiro Ritual,4,Ação Ativa,Sim,"Foco 1 min: vincula 2 Alvos — dano em um força teste no outro para receber metade do dano",Marca da Aflição: +2 Dif.,Conjurador Maldito: vira Ação Acelerada
Andarilho,Ritualista,Portador dos Maus Agouros,2,Ação Rápida,Sim,"Ao ser ferido, aplica de volta uma Condição Mágica de suas Habilidades no atacante (Espírito Dif.10)",Agouro Maior: +2 Dif.,Precursor dos Enfermos: usa 2x na rodada
Andarilho,Ritualista,Arauto da Entropia,—,Iniciativa,Sim,"Ganha pontos de Entropia (metade da Canalização); gasta 1 para realocar Condição Mágica removida em novo Alvo",Aspecto Entrópico: pontos de Entropia = Canalização total,Rumo ao Desconhecido: -1 PE em habilidades de Condição Mágica
Andarilho,Ritualista,Romper o Véu,3,Ação Ativa,Sim,"Condição Mágica 1 min: reduz todos os Parâmetros e Poder do Alvo em 1",Rasgar Espírito: +2 Dif.,Presságio Maldito: vira Ação Acelerada
Andarilho,Ritualista,Rituais Antigos,—,—,Não,"Ganha Ritual da Purificação (dissipa Conjurações em área) e Ritual da Proteção (evita Incapacitar 1x, ganha PE Temp. ao receber Condição Mágica)",Prática da Lua Negra: transfere Condição Mágica de aliado para si,Abraçar Agouro: +1 em Parâmetros enquanto tiver Condição Mágica
Combatente,Artista Marcial,Mestre do Corpo e da Mente,—,—,Não,"Evolui Discípulo do Corpo e da Mente: +1 categoria de dado; acerto desarmado dá +Agilidade acumulativo",Técnica do Primeiro Templo: pode re-rolar dados de dano 1x/turno,Velocidade Marcial: Sequência Marcial ganha Aptidão e Prioridade
Combatente,Artista Marcial,Perito com Manobras de Combate,—,—,Não,"Evolui Técnicas Marciais: potencializa Agarrar/Desarmar/Derrubar/Empurrar",Mestre em Manobras: Aptidão para resistir a Manobras,Acerto de Contas do Taverneiro: Alvos de suas Manobras têm Inaptidão para resistir
Combatente,Artista Marcial,Portões Interiores,4,Ação Simples,Não,"1 min: Aptidão+Prioridade em Agilidade; imune a Inaptidão em Parâmetros; remove e imuniza a Efeitos Negativos",Quebrar os Portões: -2 PE (grátis com metade do PV),Controlar Poder: vira Ação Acelerada
Combatente,Artista Marcial,Presença de Junkai,—,Iniciativa,Não,"Invoca figura espectral: Conflito (dano ao acertar desarmado) ou Harmonia (PVT ao causar/receber dano)",Discípulo do Conflito e da Harmonia: dobra os valores,Discípulo de Junkai: recebe ambos os efeitos
Combatente,Artista Marcial,Relâmpago de Jade,2,Ação Ativa,Não,"Movimentação + Ataque Físico; dano += Brutalidade/Destreza por metro percorrido",Técnica Perdida: repete por 1 PE em outro Alvo (dano reduzido),Impacto Esmeralda: acerto 8+ aplica Atordoado
Combatente,Artista Marcial,Ascensão Desperta,—,—,Não,"Bônus permanentes por Nível de Despertar: 6=regen dobrada+Exaustão extra; 9=+1 Parâmetro/limite; 12=Ação extra 1x/combate",Cultivo: imunidade a redução num Parâmetro escolhido,Preservação: imunidade a redução em outro Parâmetro escolhido
Combatente,Artista Marcial,Fúria do Dragão,2,Ação Ativa,Não,"Ataque Desarmado Maximizado; acerto 10+ ativa Cataclismo Dracônico (Caído + dano em área)",Adepto Dracônico: ativa com 8+,Obliteração Dracônica: +2 Dif. do teste de Agilidade da área
Combatente,Artista Marcial,Treinamento Defensivo,2,Ação Rápida,Não,"Sucesso em Agilidade redireciona ataque para Alvo a 1m + ganha Corrida",Sinergia do Fluxo: -1 PE (grátis com metade do PV),Técnica Defensiva: vira Ação Acelerada
Combatente,Guardião,Veterano da Guerra,—,—,Não,"Evolui Calor da Batalha: PVT += 4 por Vigor; Recuperar o Fôlego usável 2x/combate",Fôlego Extra: regenera 1d4 PE em vez de 1,Purgar Efeitos e Condições: remove Efeito Negativo e Condição Mágica ao usar Recuperar o Fôlego
